id,modality,raw_query,intent,brand,model,model_code,part_type,quality,color,qty,city,notes
A11-001,text,Найди оригинальный дисплей на iPhone 11 черный 1 шт для клиента в г. Москва.,find,Apple,iPhone 11,A2221,display,Original,черный,1,Москва,
A11-002,text,"Нужен дисплей oem для iPhone 11 белый, 2 шт, город Санкт-Петербург.",find,Apple,iPhone 11,A2221,display,OEM,белый,2,Санкт-Петербург,
A11-003,text,"Подбери ориг дисплей на iPhone 11, 1 шт, отправка в г. Новосибирск.",find,Apple,iPhone 11,A2221,display,Original,зеленый,1,Новосибирск,
A11-004,text,"Ищи дисплей для Apple iPhone 11 oem черный, 3 шт, г. Казань.",find,Apple,iPhone 11,A2221,display,OEM,черный,3,Казань,
A11-005,text,Закажи 2 шт дисплей ориг на iPhone 11 белый в г. Екатеринбург.,find,Apple,iPhone 11,A2221,display,Original,белый,2,Екатеринбург,
A11-006,text,"Подготовь подборку: дисплей на iPhone 11 oem зеленый, 4 шт, город Нижний Новгород.",find,Apple,iPhone 11,A2221,display,OEM,зеленый,4,Нижний Новгород,
A11-007,text,Скинь варианты дисплей оригинал для iPhone 11 черный по 1 шт в г. Москва.,find,Apple,iPhone 11,A2221,display,Original,черный,1,Москва,
A11-008,voice,"Привет, привези 1 шт дисплей на iPhone 11, оригинальный черный, в г. Москва.",bring,Apple,iPhone 11,A2221,display,Original,черный,1,Москва,транскрипт голосового запроса
A11-009,voice,"Мне бы 2 шт дисплей для iPhone 11, oem белый, город Санкт-Петербург.",find,Apple,iPhone 11,A2221,display,OEM,белый,2,Санкт-Петербург,
A11-010,voice,"Нужно срочно 1 шт дисплей ориг на iPhone 11 зеленый, доставь в г. Новосибирск.",bring,Apple,iPhone 11,A2221,display,Original,зеленый,1,Новосибирск,транскрипт голосового запроса
A13P-011,text,Найди оригинальный аккумулятор на iPhone 13 Pro 5 шт для клиента в г. Санкт-Петербург.,find,Apple,iPhone 13 Pro,A2636,battery,Original,none,5,Санкт-Петербург,
A13P-012,text,"Нужен аккумулятор копия для iPhone 13 Pro, 2 шт, город Новосибирск.",find,Apple,iPhone 13 Pro,A2636,battery,Copy,none,2,Новосибирск,
A13P-013,text,"Подбери ориг аккумулятор на iPhone 13 Pro, 3 шт, отправка в г. Казань.",find,Apple,iPhone 13 Pro,A2636,battery,Original,none,3,Казань,
A13P-014,text,"Ищи аккумулятор для Apple iPhone 13 Pro копия, 1 шт, г. Екатеринбург.",find,Apple,iPhone 13 Pro,A2636,battery,Copy,none,1,Екатеринбург,
A13P-015,text,Закажи 2 шт аккумулятор ориг на iPhone 13 Pro в г. Нижний Новгород.,find,Apple,iPhone 13 Pro,A2636,battery,Original,none,2,Нижний Новгород,
A13P-016,text,"Подготовь подборку: аккумулятор на iPhone 13 Pro копию, 1 шт, город Москва.",find,Apple,iPhone 13 Pro,A2636,battery,Copy,none,1,Москва,
A13P-017,text,Скинь варианты аккумулятор оригинал для iPhone 13 Pro по 3 шт в г. Санкт-Петербург.,find,Apple,iPhone 13 Pro,A2636,battery,Original,none,3,Санкт-Петербург,
A13P-018,voice,"Привет, привези 3 шт аккумулятор на iPhone 13 Pro, оригинальный, в г. Санкт-Петербург.",bring,Apple,iPhone 13 Pro,A2636,battery,Original,none,3,Санкт-Петербург,транскрипт голосового запроса
A13P-019,voice,"Мне бы 2 шт аккумулятор для iPhone 13 Pro, копия, город Новосибирск.",find,Apple,iPhone 13 Pro,A2636,battery,Copy,none,2,Новосибирск,
A13P-020,voice,"Нужно срочно 4 шт аккумулятор ориг на iPhone 13 Pro, доставь в г. Казань.",bring,Apple,iPhone 13 Pro,A2636,battery,Original,none,4,Казань,транскрипт голосового запроса
SA52-021,text,Найди оригинальный шлейф зарядки на Galaxy A52 черный 2 шт для клиента в г. Новосибирск.,find,Samsung,Galaxy A52,SM-A525F,charging_port_flex,Original,черный,2,Новосибирск,
SA52-022,text,"Нужен шлейф зарядки grade a для Galaxy A52 фиолетовый, 4 шт, город Казань.",find,Samsung,Galaxy A52,SM-A525F,charging_port_flex,Grade A,фиолетовый,4,Казань,
SA52-023,text,"Подбери ориг шлейф зарядки на Galaxy A52, 1 шт, отправка в г. Екатеринбург.",find,Samsung,Galaxy A52,SM-A525F,charging_port_flex,Original,черный,1,Екатеринбург,
SA52-024,text,"Ищи шлейф зарядки для Samsung Galaxy A52 grade a фиолетовый, 5 шт, г. Нижний Новгород.",find,Samsung,Galaxy A52,SM-A525F,charging_port_flex,Grade A,фиолетовый,5,Нижний Новгород,
SA52-025,text,Закажи 2 шт шлейф зарядки ориг на Galaxy A52 черный в г. Москва.,find,Samsung,Galaxy A52,SM-A525F,charging_port_flex,Original,черный,2,Москва,
SA52-026,text,"Подготовь подборку: шлейф зарядки на Galaxy A52 grade a фиолетовый, 3 шт, город Санкт-Петербург.",find,Samsung,Galaxy A52,SM-A525F,charging_port_flex,Grade A,фиолетовый,3,Санкт-Петербург,
SA52-027,text,Скинь варианты шлейф зарядки оригинал для Galaxy A52 черный по 1 шт в г. Новосибирск.,find,Samsung,Galaxy A52,SM-A525F,charging_port_flex,Original,черный,1,Новосибирск,
SA52-028,voice,"Привет, привези 1 шт шлейф зарядки на Galaxy A52, оригинальный черный, в г. Новосибирск.",bring,Samsung,Galaxy A52,SM-A525F,charging_port_flex,Original,черный,1,Новосибирск,транскрипт голосового запроса
SA52-029,voice,"Мне бы 5 шт шлейф зарядки для Galaxy A52, grade a фиолетовый, город Казань.",find,Samsung,Galaxy A52,SM-A525F,charging_port_flex,Grade A,фиолетовый,5,Казань,
SA52-030,voice,"Нужно срочно 2 шт шлейф зарядки ориг на Galaxy A52 черный, доставь в г. Екатеринбург.",bring,Samsung,Galaxy A52,SM-A525F,charging_port_flex,Original,черный,2,Екатеринбург,транскрипт голосового запроса
SS21-031,text,Найди оригинальный задняя крышка на Galaxy S21 FE серый 2 шт для клиента в г. Казань.,find,Samsung,Galaxy S21 FE,SM-G990B,back_cover,Original,серый,2,Казань,
SS21-032,text,"Нужен задняя крышка копия для Galaxy S21 FE зеленый, 1 шт, город Екатеринбург.",find,Samsung,Galaxy S21 FE,SM-G990B,back_cover,Copy,зеленый,1,Екатеринбург,
SS21-033,text,"Подбери ориг задняя крышка на Galaxy S21 FE, 3 шт, отправка в г. Нижний Новгород.",find,Samsung,Galaxy S21 FE,SM-G990B,back_cover,Original,белый,3,Нижний Новгород,
